year,adj
1700,9.295703259005144
1701,9.295703259005144
1702,9.295703259005144
1703,9.295703259005144
1704,9.295703259005144
1705,9.295703259005144
1706,9.295703259005144
1707,9.295703259005144
1708,9.295703259005144
1709,9.295703259005144
1710,9.295703259005144
1711,9.295703259005144
1712,9.295703259005144
1713,9.295703259005144
1714,9.295703259005144
1715,9.295703259005144
1716,9.295703259005144
1717,9.295703259005144
1718,9.295703259005144
1719,9.295703259005144
1720,9.295703259005144
1721,9.295703259005144
1722,9.295703259005144
1723,9.295703259005144
1724,9.295703259005144
1725,9.295703259005144
1726,9.295703259005144
1727,9.295703259005144
1728,9.295703259005144
1729,9.295703259005144
1730,9.295703259005144
1731,9.295703259005144
1732,9.295703259005144
1733,9.295703259005144
1734,9.295703259005144
1735,9.295703259005144
1736,9.295703259005144
1737,9.295703259005144
1738,9.295703259005144
1739,9.295703259005144
1740,9.295703259005144
1741,9.295703259005144
1742,9.295703259005144
1743,9.295703259005144
1744,9.295703259005144
1745,9.295703259005144
1746,9.295703259005144
1747,9.295703259005144
1748,9.295703259005144
1749,9.295703259005144
1750,9.295703259005144
1751,9.295703259005144
1752,9.295703259005144
1753,9.295703259005144
1754,9.295703259005144
1755,9.295703259005144
1756,9.295703259005144
1757,9.295703259005144
1758,9.295703259005144
1759,9.295703259005144
1760,9.295703259005144
1761,9.295703259005144
1762,9.295703259005144
1763,9.295703259005144
1764,9.295703259005144
1765,9.295703259005144
1766,9.295703259005144
1767,9.295703259005144
1768,9.295703259005144
1769,9.295703259005144
1770,9.295703259005144
1771,9.295703259005144
1772,9.295703259005144
1773,9.295703259005144
1774,9.295703259005144
1775,9.295703259005144
1776,9.295703259005144
1777,9.295703259005144
1778,9.295703259005144
1779,9.295703259005144
1780,9.295703259005144
1781,9.295703259005144
1782,9.295703259005144
1783,9.295703259005144
1784,9.295703259005144
1785,9.295703259005144
1786,9.295703259005144
1787,9.295703259005144
1788,9.295703259005144
1789,9.295703259005144
1790,9.295703259005144
1791,9.295703259005144
1792,9.295703259005144
1793,9.295703259005144
1794,9.295703259005144
1795,9.295703259005144
1796,9.295703259005144
1797,9.295703259005144
1798,9.295703259005144
1799,9.295703259005144
1800,9.295703259005144
1801,9.295703259005144
1802,9.295703259005144
1803,9.295703259005144
1804,9.295703259005144
1805,9.295703259005144
1806,9.295703259005144
1807,9.295703259005144
1808,9.295703259005144
1809,9.295703259005144
1810,9.295703259005144
1811,9.295703259005144
1812,9.295703259005144
1813,9.295703259005144
1814,9.295703259005144
1815,9.295703259005144
1816,9.295703259005144
1817,9.295703259005144
1818,9.295703259005144
1819,9.295703259005144
1820,9.295703259005144
1821,9.295703259005144
1822,9.295703259005144
1823,9.295703259005144
1824,9.295703259005144
1825,9.295703259005144
1826,9.295703259005144
1827,9.295703259005144
1828,9.295703259005144
1829,9.295703259005144
1830,9.295703259005144
1831,9.295703259005144
1832,9.295703259005144
1833,9.295703259005144
1834,9.295703259005144
1835,9.295703259005144
1836,9.295703259005144
1837,9.295703259005144
1838,9.295703259005144
1839,9.295703259005144
1840,9.295703259005144
1841,9.295703259005144
1842,9.295703259005144
1843,9.295703259005144
1844,9.295703259005144
1845,9.295703259005144
1846,9.295703259005144
1847,9.295703259005144
1848,9.295703259005144
1849,9.295703259005144
1850,9.295703259005144
1851,9.295703259005144
1852,9.295703259005144
1853,9.295703259005144
1854,9.295703259005144
1855,9.295703259005144
1856,9.295703259005144
1857,9.295703259005144
1858,9.295703259005144
1859,9.295703259005144
1860,9.295703259005144
1861,9.295703259005144
1862,9.295703259005144
1863,9.295703259005144
1864,9.295703259005144
1865,9.295703259005144
1866,9.295703259005144
1867,9.295703259005144
1868,9.295703259005144
1869,9.295703259005144
1870,9.295703259005144
1871,9.295703259005144
1872,9.295703259005144
1873,9.295703259005144
1874,9.295703259005144
1875,9.295703259005144
1876,9.295703259005144
1877,9.295703259005144
1878,9.295703259005144
1879,9.295703259005144
1880,9.295703259005144
1881,9.295703259005144
1882,9.295703259005144
1883,9.295703259005144
1884,9.295703259005144
1885,9.295703259005144
1886,9.295703259005144
1887,9.295703259005144
1888,9.295703259005144
1889,9.295703259005144
1890,9.295703259005144
1891,9.295703259005144
1892,9.295703259005144
1893,9.295703259005144
1894,9.295703259005144
1895,9.295703259005144
1896,9.295703259005144
1897,9.295703259005144
1898,9.295703259005144
1899,9.295703259005144
1900,9.295703259005144
1901,9.295703259005144
1902,9.295703259005144
1903,9.295703259005144
1904,9.295703259005144
1905,9.295703259005144
1906,9.295703259005144
1907,9.295703259005144
1908,9.295703259005144
1909,9.295703259005144
1910,9.295703259005144
1911,9.295703259005144
1912,9.295703259005144
1913,9.295703259005144
1914,9.295703259005144
1915,9.295703259005144
1916,9.295703259005144
1917,9.295703259005144
1918,9.295703259005144
1919,9.295703259005144
1920,9.295703259005144
1921,9.295703259005144
1922,9.295703259005144
1923,9.295703259005144
1924,9.295703259005144
1925,9.295703259005144
1926,9.295703259005144
1927,9.295703259005144
1928,9.295703259005144
1929,9.295703259005144
1930,9.295703259005144
1931,9.295703259005144
1932,9.295703259005144
1933,9.295703259005144
1934,9.295703259005144
1935,9.295703259005144
1936,9.295703259005144
1937,9.295703259005144
1938,9.295703259005144
1939,9.295703259005144
1940,9.295703259005144
1941,9.295703259005144
1942,9.295703259005144
1943,9.295703259005144
1944,9.295703259005144
1945,9.295703259005144
1946,9.295703259005144
1947,9.295703259005144
1948,9.295703259005144
1949,9.295703259005144
1950,9.295703259005144
1951,9.295703259005144
1952,9.295703259005144
1953,9.295703259005144
1954,9.295703259005144
1955,9.295703259005144
1956,9.295703259005144
1957,9.295703259005144
1958,9.295703259005144
1959,9.295703259005144
1960,9.162121724429415
1961,9.065059938667407
1962,8.95767768595041
1963,8.84799183673469
1964,8.736262761955937
1965,8.599939169531865
1966,8.348233632862641
1967,8.123000249812637
1968,7.790218016291325
1969,7.386726487960016
1970,6.979259497746295
1971,6.691988063387528
1972,6.479946193702668
1973,6.102922297297296
1974,5.495414906202465
1975,5.035052647878599
1976,4.761512666569043
1977,4.470833218754295
1978,4.153854113438937
1979,3.733651395108508
1980,3.2881353018505415
1981,2.9801457244982124
1982,2.8079766839378237
1983,2.7205798192771082
1984,2.6084044601315575
1985,2.519086612953207
1986,2.4721637649205497
1987,2.3847722772277224
1988,2.291337467408921
1989,2.1858275073944604
1990,2.0738803495120854
1991,1.989620632686777
1992,1.9311301817317963
1993,1.8757640611479662
1994,1.8280974869286555
1995,1.7782111998250025
1996,1.7275725215173727
1997,1.6881097497663788
1998,1.662306119319053
1999,1.6267131922557403
2000,1.5735757839721247
2001,1.5303261483433732
2002,1.5064336344683804
2003,1.4729952434881084
2004,1.434587929056737
2005,1.3875131213996157
2006,1.3441515439626306
2007,1.3068708002744254
2008,1.2585536628696834
2009,1.2630443699688167
2010,1.2426641382583794
2011,1.2046356977997759
2012,1.1802131081434726
2013,1.1631745475293198
2014,1.144606478238433
2015,1.1432502731871557
2016,1.1290069115991677
2017,1.1054594101178505
2018,1.079101458144309
2019,1.0598939531384608
2020,1.0469785886363738
2021,1
