id,x,y
0663G00022000000,-79.99043545,40.31325431
1002C00107000000,-79.88868059,40.28681178
0591R00346000000,-80.20789662,40.45478815
0190C00128000000,-80.00412043,40.37365397
0465M00075000000,-79.85289298,40.32944443
0808M00126000000,-80.23602633,40.5257279
0316P00094000000,-80.00803813,40.34737597
0084J00086000000,-79.93188136,40.45621664
0828R00077000000,-79.9888505,40.57059792
0038C00187000000,-80.0537901,40.42198257
0516D00215000000,-80.03344764,40.54974005
0094J00214000000,-79.98084918,40.38806961
0250P00016000000,-80.02580889,40.35753762
2372R00186000000,-80.08922035,40.66742289
0637R00111000000,-79.7883937,40.44424836
0536J00186000000,-79.81292392,40.48729983
0253K00140000000,-80.07467593,40.35905401
0006K00262000000,-80.02516985,40.43732447
0124G00075000000,-79.90509072,40.46912682
0830F00148000000,-79.96013546,40.5741618
1132N00196000000,-79.87988295,40.26857769
0071K00250000000,-80.07494282,40.45609762
0434D00140000000,-79.9512788,40.53814651
0242P00138000000,-79.89178493,40.35646585
0373C00060000000,-79.83829811,40.42345713
0047L00124000000,-79.98934313,40.46593809
0213C00052000000,-80.08804883,40.50960282
0124P00079000C00,-79.91180293,40.46307569
0033G00191000000,-79.98775218,40.41003037
0368G00187000000,-79.83928006,40.4689447
0815D00393000000,-80.20378929,40.57874866
0718L00279000000,-79.97379,40.5638994
0012J00159000000,-79.98093154,40.42747104
0033H00396000000,-79.98297235,40.41108619
0522K00102000000,-79.94590339,40.54493969
0246F00098000000,-79.95889456,40.36162286
0734C00392000000,-79.77488252,40.53065404
0033F00023000000,-79.99125821,40.41116031
0052H00041000000,-79.93396856,40.44986131
0140S00242000000,-80.01985903,40.37518152
0584L00026000000,-80.20410764,40.38847475
0095L00024000000,-79.98747651,40.38888775
0809J00260000000,-80.24877103,40.53434069
0279B00258000000,-80.04243311,40.51965265
0832P00380000000,-79.92795582,40.57211363
0646B00081000000,-79.79480279,40.36520768
0035C00264000000,-80.0203957,40.41161231
0176C00338000000,-79.88965569,40.44079918
1996C00010000000,-80.12123475,40.65515523
0321N00005000000,-80.09858529,40.34787865
0734F00093000000,-79.77641273,40.52710162
0397L00218000000,-80.1071467,40.34083052
0084J00060000000,-79.93211908,40.45521857
0037K00022000000,-80.06050343,40.40713664
0309H00038000000,-79.88635532,40.35216823
0164D00076000000,-79.98430016,40.50100234
0634D00266000000,-79.785313,40.4820132
0011J00177000000,-79.98170947,40.43671411
0523A00175000000,-79.93123085,40.54810206
0668J00072000000,-80.08021053,40.31133351
0072D00259000000,-80.06717058,40.47066901
0801L00122000000,-80.23931353,40.45719904
0383F00052000000,-79.87591065,40.34198171
0025J00043000000,-79.98179356,40.45584277
0174E00060000C00,-79.8993923,40.45973564
0063C00318000000,-80.03752952,40.40202073
0041G00074000000,-80.05772161,40.44862454
0714P00310000000,-80.04373728,40.56133452
0050F00036000100,-79.94270209,40.4675542
0229S00286000000,-79.86652362,40.47303193
0381K00276000000,-79.84433294,40.34059009
0286D00180000000,-79.92018844,40.51875164
0223N00148000000,-79.92865045,40.50295681
0635G00282000000,-79.78917511,40.46998724
0296H00037000000,-79.85200681,40.45774446
0461E00361000000,-79.8312937,40.35127776
0233K00249000000,-79.87780022,40.43659328
0060P00095000000,-79.99329332,40.39564335
0195K00132000000,-80.09290221,40.36917356
0049R00124000000,-79.9571685,40.46414176
0364N00010000000,-79.84571458,40.50245726
0096J00172000000,-80.01467289,40.38899608
0341L00184000000,-80.15580634,40.50556328
