image_id,built_score_ad,paved_score_ad,sky_score_ad,nature_score_ad,road_score_ad,sidewalk_score_ad,terrain_score_ad,vegetation_score_ad,pole_score_ad,built_score,paved_score,auto_score,sky_score,nature_score,human_score,latitude,longitude,road_score,sidewalk_score,building_score,wall_score,fence_score,pole_score,traffic_light_score,traffic_sign_score,vegetation_score,terrain_score,sky_score,person_score,rider_score,car_score,truck_score,bus_score,train_score,motorcycle_score,bicycle_score,void_score
0_40.31325431_-79.99043545,18.47744459,17.22733544,9.97572434,54.24160394,11.73789273,5.489442708,29.74030283,24.50130111,0.007335091,18.36805556,17.12534722,0.325,9.916666667,53.92048611,0.009722222,40.31325431,-79.99043545,11.66840278,5.456944444,18.30555556,0.0625,0.062847222,0.007291667,0,0.007291667,24.35625,29.56423611,9.916666667,0.004513889,0.005208333,0.313888889,0,0,0,0.011111111,0.257291667,0
1_40.28681178_-79.88868059,4.946777385,23.02470254,5.310070499,66.42272968,19.03230975,3.992392788,11.95697606,54.46575362,0.010101151,4.93125,22.95243056,0.305555556,5.293402778,66.21423611,0.008333333,40.28681178,-79.88868059,18.97256944,3.979861111,4.897222222,0.034027778,0.284722222,0.010069444,0,0,54.29479167,11.91944444,5.293402778,0.008333333,0,0.305208333,0.000347222,0,0,0,0,0
2_40.45478815_-80.20789662,9.604600555,39.61631816,9.36641232,41.24039226,38.08989078,1.526427386,2.722948373,38.51744389,0.162512031,9.562847222,39.44409722,0.409375,9.325694444,41.06111111,0.024652778,40.45478815,-80.20789662,37.92430556,1.519791667,9.562847222,0,0,0.161805556,0,0.009722222,38.35,2.711111111,9.325694444,0.024652778,0,0.408680556,0,0,0,0.000694444,0.000694444,0
3_40.37365397_-80.00412043,2.340656011,27.85450315,15.4462398,54.2492311,26.57898495,1.275518201,0.785443349,53.46378775,0.077325243,2.333333333,27.76736111,0.257638889,15.39791667,54.07951389,0.055208333,40.37365397,-80.00412043,26.49583333,1.271527778,2.294444444,0.038888889,0.031944444,0.077083333,0,0,53.29652778,0.782986111,15.39791667,0.055208333,0,0.257638889,0,0,0,0,0,0
4_40.32944443_-79.85289298,7.287958724,31.91445266,6.106628756,54.28809326,31.56539856,0.3490541,5.213268419,49.07482484,0.032360224,6.959722222,30.47708333,3.868055556,5.831597222,51.84305556,0.000694444,40.32944443,-79.85289298,30.14375,0.333333333,6.298263889,0.661458333,0.353819444,0.030902778,0,0,46.86458333,4.978472222,5.831597222,0.000694444,0,2.706597222,0,0,0,1.161458333,0.635069444,0
5_40.5257279_-80.23602633,9.467830176,36.95660491,31.09477221,22.36601848,32.69361194,4.262992964,16.7678187,5.598199784,0.099470995,9.452083333,36.89513889,0.1625,31.04305556,22.32881944,0.001041667,40.5257279,-80.23602633,32.63923611,4.255902778,9.398263889,0.053819444,0.014930556,0.099305556,0,0.000347222,5.588888889,16.73993056,31.04305556,0.001041667,0,0.130902778,0,0,0,0.031597222,0.002777778,0
6_40.34737597_-80.00803813,21.44340819,33.0015474,19.43491838,26.11977751,30.8717745,2.129772908,5.928582382,20.19119513,0,21.36388889,32.87916667,0.360416667,19.36284722,26.02291667,0.005902778,40.34737597,-80.00803813,30.75729167,2.121875,21.36388889,0,0.000347222,0,0,0,20.11631944,5.906597222,19.36284722,0.005902778,0,0.337847222,0.003125,0,0,0.019444444,0.004513889,0
7_40.45621664_-79.93188136,48.34029661,20.17542574,13.35385668,18.04539569,11.62549781,8.549927924,0.076229568,17.96916612,0.085025288,34.34930556,14.33611111,28.74618056,9.488888889,12.82256944,0.192361111,40.45621664,-79.93188136,8.260763889,6.075347222,34.34930556,0,0,0.060416667,0,0,12.76840278,0.054166667,9.488888889,0.147916667,0.044444444,28.74618056,0,0,0,0,0.004166667,0
8_40.57059792_-79.9888505,10.1857556,26.01587815,0.004872735,58.15991619,25.51050596,0.50537219,11.35173139,46.8081848,0.021927306,10.16145833,25.95381944,0.021180556,0.004861111,58.02118056,0.063888889,40.57059792,-79.9888505,25.44965278,0.504166667,9.189583333,0.971875,5.597916667,0.021875,0.000347222,0,46.69652778,11.32465278,0.004861111,0.002430556,0.061458333,0.021180556,0,0,0,0,0.153472222,0
9_40.42198257_-80.0537901,17.84371606,34.73572085,18.65409786,28.59659138,33.966067,0.769653847,9.965120165,18.63147122,0.018101312,17.79861111,34.64791667,0.186111111,18.60694444,28.52430556,0.066319444,40.42198257,-80.0537901,33.88020833,0.767708333,17.65972222,0.138888889,0.119791667,0.018055556,0,0.031597222,18.584375,9.939930556,18.60694444,0.066319444,0,0.103472222,0.081597222,0.000347222,0,0.000694444,0.000347222,0
